,Country,Cases,Deaths,Region
0,United States,31869980,575593,North America
1,Brazil,13445006,351469,South America
2,India,13355465,169305,Asia
3,France,5023785,98602,Europe
4,Russia,4632688,102649,Europe
5,United Kingdom,4368045,127080,Europe
6,Turkey,3798333,33702,Asia
7,Italy,3754077,113923,Europe
8,Spain,3347512,76328,Europe
9,Germany,2992803,78858,Europe
10,Poland,2552898,58176,Europe
11,Colombia,2518715,65608,South America
12,Argentina,2517300,57647,South America
13,Mexico,2278420,207020,North America
14,Iran,2049078,64232,Asia
15,Ukraine,1841137,36779,Europe
16,Peru,1639767,54669,South America
17,Czech Republic (Czechia),1577972,27734,Europe
18,Indonesia,1562868,42443,Asia
19,South Africa,1557527,53256,Africa
20,Netherlands,1342447,16754,Europe
21,Chile,1068522,24213,South America
22,Canada,1052539,23287,North America
23,Romania,1002865,25006,Europe
24,Iraq,918155,14678,Asia
25,Belgium,917917,23390,Europe
26,Sweden,857401,13621,Europe
27,Philippines,853209,14744,Asia
28,Israel,835811,6292,Asia
29,Portugal,826928,16910,Europe
30,Pakistan,715968,15329,Asia
31,Hungary,713868,23211,Europe
32,Bangladesh,678937,9661,Asia
33,Jordan,662395,7708,Asia
34,Serbia,639476,5700,Europe
35,Switzerland,617543,10452,Europe
36,Austria,574755,9662,Europe
37,Morocco,501688,8891,Africa
38,Japan (+Diamond Princess),500505,9366,Asia
39,Lebanon,494633,6630,Asia
40,United Arab Emirates,481937,1529,Asia
41,Saudi Arabia,397636,6747,Asia
42,Bulgaria,371531,14351,Europe
43,Slovakia,370473,10487,Europe
44,Malaysia,359117,1321,Asia
45,Panama,358377,6159,North America
46,Ecuador,344877,17275,South America
47,Belarus,334863,2344,Europe
48,Greece,293763,8833,Europe
49,Croatia,290899,6269,Europe
50,Georgia,287689,3869,Asia
51,Azerbaijan,283579,3879,Asia
52,Bolivia,280649,12428,South America
53,Nepal,279725,3039,Asia
54,Tunisia,270297,9235,Africa
55,Kazakhstan,266677,3202,Asia
56,State of Palestine,265897,2838,Asia
57,Dominican Republic,257186,3385,North America
58,Kuwait,245704,1403,Asia
59,Moldova,240886,5369,Europe
60,Ireland,240643,4783,Europe
61,Denmark,237101,2439,Europe
62,Paraguay,233745,4749,South America
63,Ethiopia,227255,3146,Africa
64,Slovenia,225950,4112,Europe
65,Lithuania,225308,3671,Europe
66,Costa Rica,222544,3018,North America
67,Egypt,209677,12405,Africa
68,Guatemala,202640,7001,North America
69,Armenia,202167,3720,Asia
70,Honduras,194548,4766,North America
71,Qatar,189064,331,Asia
72,Bosnia and Herzegovina,181927,7298,Europe
73,Venezuela,173786,1759,South America
